,sender,receiver,message
62,38,40,"There is a federal investigation and review report about the police and what it's being investigated for, is there a specific date?"
63,43,38,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
64,1,38,">Way, a woman in a dream with a gun is going to get more expensive. A girl would be a little more aggressive with it."
65,26,38,"""I like your idea of what you think is important, but what you think is a little bit more important is that you should formally state what you are really thinking and why you think the president is being acting like a pawn for these govt agencies that have no business using the govt as a source of revenue. I am not a huge anti-govt fan but I am sure you are well aware that a large portion of the govt is in favor of this. """
66,37,38,"That is one of the most infamous phrases in the US lexicon, and is not a good analogy for the people involved."
67,38,2,“[Mother of Trump] is not an illegal entity.”
68,38,3,“[Mother of Trump] is not an illegal entity.”
69,38,6,“[Mother of Trump] is not an illegal entity.”
70,38,7,“[Mother of Trump] is not an illegal entity.”
71,38,9,“[Mother of Trump] is not an illegal entity.”
72,38,12,“[Mother of Trump] is not an illegal entity.”
73,38,13,“[Mother of Trump] is not an illegal entity.”
74,38,24,“[Mother of Trump] is not an illegal entity.”
75,38,29,“[Mother of Trump] is not an illegal entity.”
76,38,32,“[Mother of Trump] is not an illegal entity.”
77,38,35,“[Mother of Trump] is not an illegal entity.”
78,38,40,“[Mother of Trump] is not an illegal entity.”
79,43,38,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
80,1,38,"if the guy is an ally, and you want to see the results of the investigation - not the govt - then you do not have a valid claim to the FBI, that's all they need to do."
81,26,38,The most interesting part of the story is this:
82,37,38,"I like to say that, if you’re gonna take one chance to talk about your job, you should talk about your career goals. Its all going to be about what matters."
83,38,2,>Do you like Trump? This is the most controversial thing to hear today from a congressional committee from Jon Thompson. Do you like Trump?
84,38,3,>Do you like Trump? This is the most controversial thing to hear today from a congressional committee from Jon Thompson. Do you like Trump?
85,38,6,>Do you like Trump? This is the most controversial thing to hear today from a congressional committee from Jon Thompson. Do you like Trump?
86,38,7,>Do you like Trump? This is the most controversial thing to hear today from a congressional committee from Jon Thompson. Do you like Trump?
87,38,9,>Do you like Trump? This is the most controversial thing to hear today from a congressional committee from Jon Thompson. Do you like Trump?
88,38,12,>Do you like Trump? This is the most controversial thing to hear today from a congressional committee from Jon Thompson. Do you like Trump?
89,38,13,>Do you like Trump? This is the most controversial thing to hear today from a congressional committee from Jon Thompson. Do you like Trump?
90,38,24,>Do you like Trump? This is the most controversial thing to hear today from a congressional committee from Jon Thompson. Do you like Trump?
91,38,29,>Do you like Trump? This is the most controversial thing to hear today from a congressional committee from Jon Thompson. Do you like Trump?
92,38,32,>Do you like Trump? This is the most controversial thing to hear today from a congressional committee from Jon Thompson. Do you like Trump?
93,38,35,>Do you like Trump? This is the most controversial thing to hear today from a congressional committee from Jon Thompson. Do you like Trump?
94,38,40,>Do you like Trump? This is the most controversial thing to hear today from a congressional committee from Jon Thompson. Do you like Trump?
95,43,38,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
96,1,38,"I'm assuming that you're talking about the government's efforts in catching a rape and a conspiracy against people with ""psycho-psychology"" and what not?"
97,26,38,This is interesting. It is a cliche:
98,37,38,There is a special meeting tomorrow night on [2nd April] (https://www.bc.gov/nba/senate_reviews/reviews/in-the-constitutional_review-time/en__for_reviews.html) where we can discuss what we feel will be interesting. It will probably be like [1st April](https://www.cbc.gov/reviews/en/adp-research-reviews.html)
99,38,2,"I am very sorry, but I would love to hear your thoughts as I'm going into the next level and the president and I can just go on with my day!"
100,38,3,"I am very sorry, but I would love to hear your thoughts as I'm going into the next level and the president and I can just go on with my day!"
101,38,6,"I am very sorry, but I would love to hear your thoughts as I'm going into the next level and the president and I can just go on with my day!"
102,38,7,"I am very sorry, but I would love to hear your thoughts as I'm going into the next level and the president and I can just go on with my day!"
103,38,9,"I am very sorry, but I would love to hear your thoughts as I'm going into the next level and the president and I can just go on with my day!"
104,38,12,"I am very sorry, but I would love to hear your thoughts as I'm going into the next level and the president and I can just go on with my day!"
105,38,13,"I am very sorry, but I would love to hear your thoughts as I'm going into the next level and the president and I can just go on with my day!"
106,38,24,"I am very sorry, but I would love to hear your thoughts as I'm going into the next level and the president and I can just go on with my day!"
107,38,29,"I am very sorry, but I would love to hear your thoughts as I'm going into the next level and the president and I can just go on with my day!"
108,38,32,"I am very sorry, but I would love to hear your thoughts as I'm going into the next level and the president and I can just go on with my day!"
109,38,35,"I am very sorry, but I would love to hear your thoughts as I'm going into the next level and the president and I can just go on with my day!"
110,38,40,"I am very sorry, but I would love to hear your thoughts as I'm going into the next level and the president and I can just go on with my day!"
111,43,38,"Wearing masks does not help in stopping the virus, it's useless and I hate it."
