,sender,receiver,message
38,20,3,"It is a lot like being a spy. That's why they have to be able to send a picture of a child to their children, if a law student is involved. The idea of a 'trump is a bad speller and there are no coincidencesso"
39,20,14,"It is a lot like being a spy. That's why they have to be able to send a picture of a child to their children, if a law student is involved. The idea of a 'trump is a bad speller and there are no coincidencesso"
40,20,33,"It is a lot like being a spy. That's why they have to be able to send a picture of a child to their children, if a law student is involved. The idea of a 'trump is a bad speller and there are no coincidencesso"
41,21,20,>What do you think about the u.s. enforcing a similar contract with the FBI? Do you think the FBI is doing that at all?
42,22,20,The most interesting part of the story is this:
43,31,20,hmm... hmm...
44,37,20,"That is one of the most infamous phrases in the US lexicon, and is not a good analogy for the people involved."
45,18,20,It seems like the FBI has not been able to implement the budget they had in mind and is not able to take into consideration.
46,20,1,"""What do you think about the u.s. enforcing a similar contract with the FBI? Do you think the FBI is doing that at all?"""
47,20,3,"""What do you think about the u.s. enforcing a similar contract with the FBI? Do you think the FBI is doing that at all?"""
48,20,14,"""What do you think about the u.s. enforcing a similar contract with the FBI? Do you think the FBI is doing that at all?"""
49,20,33,"""What do you think about the u.s. enforcing a similar contract with the FBI? Do you think the FBI is doing that at all?"""
50,21,20,[http://www.mueller.gov/fmrb/refs/default/scrb_refs/en_us_daily-events.html](http://www.mueller.gov/fmrb/refs/default/scrb_refs/en_us_daily_events.html)
51,22,20,">Do you like Trump? This is the most controversial thing to hear today from a congressional committee from Jon Thompson. The CIA and FBI aren't going to stop it, and they have a good reason to keep a close eye on the FBI, including any attempt to track an illegality."
52,31,20,"I'm not sure you understand what you're talking about here, but you said that the NSA should be doing the investigation as well, and that a report can be made to Congress and the U.S. Department of State about this. They should be investigating how the FBI did it."
53,37,20,"I like to say that, if you’re gonna take one chance to talk about your job, you should talk about your career goals. Its all going to be about what matters."
54,18,20,"I've been a skeptic for a year, so I’m very much hesitant to speak about this. But I really do think the issue of a remark about the government being so shady and unfair is something I don’t see being an easy solution to. I think the issue of how government works is very important in context."
55,20,1,I am very curious to know what the legal implications are for the president's decision to remove a british official.
56,20,3,I am very curious to know what the legal implications are for the president's decision to remove a british official.
57,20,14,I am very curious to know what the legal implications are for the president's decision to remove a british official.
58,20,33,I am very curious to know what the legal implications are for the president's decision to remove a british official.
59,21,20,"""I know that my best friend's father is a troll. We need to be in front of him in a discussion about this."
60,22,20,I think the FBI needs to change their approach in the direction of pursuing such a thing.
61,31,20,>Do you like Trump? This is the most controversial thing to hear today from a congressional committee from Jon Thompson. Do you like Trump? This is the most controversial thing to hear today from a congressional committee from Jon Thompson.
62,37,20,There is a special meeting tomorrow night on [2nd April] (https://www.bc.gov/nba/senate_reviews/reviews/in-the-constitutional_review-time/en__for_reviews.html) where we can discuss what we feel will be interesting. It will probably be like [1st April](https://www.cbc.gov/reviews/en/adp-research-reviews.html)
